行政區,路名,巷,弄
三重區,福德北路,６４巷,
三重區,福徳北路,２巷,
三重區,三陽路,６０巷,
三重區,三陽路,１００巷,１弄
三重區,三陽路,１００巷,３弄
三重區,三陽路,１１６巷,
三重區,三陽路,１３４巷,
三重區,三陽路,１３７巷,
三重區,中華路,２巷,
三重區,中華路,２巷,３１弄
三重區,中華路,２０巷,
三重區,水漾路一段,,
三重區,名源街,,
三重區,名源街,２８巷,
三重區,名源街,２９巷,
三重區,名源街,３７巷,
三重區,名源街,４７巷,
三重區,名源街,６１巷,
三重區,重陽路一段,６０巷,
三重區,新北大道一段,１３３巷,
三重區,福華街,,
三重區,興華街,１２８巷,
三重區,興華街,１３８巷,
三重區,興華街,１４３巷,
三重區,文化南路,,
三重區,文化南路,１５巷,
三重區,文化南路,２５巷,
三重區,重新路二段,３６巷,
三重區,文化南路,４７巷,
三重區,文化南路,４７巷,２弄
三重區,文化南路,６５巷,
三重區,文化南路,６５巷,４６弄
三重區,文化南路,７５巷,
三重區,正義南路,３６巷,
三重區,正義南路,６８巷,
三重區,正義南路,８６巷,
三重區,光興街,４１巷,
三重區,福裕街,４８巷,
三重區,中正南路,７９巷,
三重區,中正南路,９７巷,
三重區,仁化街,３１巷,２２弄
三重區,仁化街,１５５巷,
三重區,同安街,９９巷,
三重區,大同南路,１６１巷,
三重區,大同南路,１６１巷,３０弄
三重區,大同南路,１６７巷,
三重區,同安街,２８巷,１弄
三重區,同安街,２８巷,
三重區,同安街,５２巷,
三重區,泉州街,１４巷,
三重區,泉州街,７０巷,１弄
三重區,泉州街,７６巷,
三重區,泉州街,８４巷,
三重區,泉州街,９６巷,
三重區,重安街,１４８巷,
三重區,重安街,１７０巷,
三重區,大同南路,２００巷,
三重區,大同南路,２１２巷,
三重區,大同南路,２３０巷,
三重區,大同南路,２３０巷,６弄
三重區,大同南路,２４０巷,
三重區,正義南路,１８１巷,
三重區,同安東街,６５巷,
三重區,同安東街,８３巷,
三重區,民生東街,,
三重區,民生東街,７巷,
三重區,安慶街,１００巷,１弄
三重區,安慶街,１００巷,３弄
三重區,安慶街,１２６巷,
三重區,安慶街,１４９巷,
三重區,安慶街,１５９巷,
三重區,安慶街,１５９巷,８弄
三重區,雙園街,５７巷,
三重區,雙園街,５７巷,３４弄
三重區,成功一街,,
三重區,成功一街,５０巷,
三重區,成功二街,,
三重區,成功路,,
三重區,成功路,４１巷,
三重區,成功路,４１巷,１１弄
三重區,成功路,４１巷,２５弄
三重區,成功路,５０巷,
三重區,成功路,５０巷,６０弄
三重區,成功路,１０４巷,
三重區,成功路,１０８巷,
三重區,成功路,１０８巷,４弄
三重區,竹圍仔街,,
三重區,昌隆街,,
三重區,新興路,２巷,
三重區,環河南路,２２１巷,
三重區,環河南路,２５４巷,
三重區,正義北路,２４４巷,
三重區,正義北路,２５６巷,
三重區,仁愛街,４３巷,
三重區,仁愛街,５３巷,
三重區,公園街,,
三重區,秀江街,,
